Catalogue Entry,Alternative Entries,Familiar Name,Right Ascension,Declination,Major Axis,Minor Axis,Magnitude,Name catalog,Name number,Type,Type Category,Constellation,Width ('),Height ('),Notes
IC 4604,,"rho Oph Nebula, rho Oph nebula",16:25:31.17,-23:26:11.7,60.0,25.0,,IC,4604,Nebula,nebulae,Ophiuchus,60.0,60.0,large_dso
IC 4605,,,16:30:12.48,-25:06:54.6,30.0,15.0,,IC,4605,Nebula,nebulae,Scorpius,30.0,30.0,large_dso
IC 4628,,,16:56:58.43,-40:27:03.5,89.13,58.88,,IC,4628,Nebula,nebulae,Scorpius,90.0,90.0,large_dso
IC 4665,,,17:46:27.18,+05:38:55.4,24.6,,4.2,IC,4665,Open Cluster,clusters,Ophiuchus,41.0,41.0,large_dso
IC 4685,,,18:09:17.50,-23:59:14.1,15.0,10.0,,IC,4685,Nebula,nebulae,Sagittarius,,,large_dso
IC 4701,,,18:16:35.74,-16:38:53.8,60.0,40.0,,IC,4701,Nebula,nebulae,Sagittarius,60.0,60.0,large_dso
IC 4703,,"Eagle Nebula,Star Queen",18:18:56.22,-13:50:43.4,5.05,5.05,6.0,IC,4703,Nebula,nebulae,,,,small_dso
IC 4756,,,18:38:51.51,+05:27:43.8,24.0,,4.6,IC,4756,Open Cluster,clusters,,52.0,52.0,large_dso
IC 4954,,,20:04:45.02,+29:15:10.1,3.0,1.0,,IC,4954,HII Ionized region,nebulae,Vulpecula,25.0,25.0,large_dso
IC 5068,,,20:50:29.76,+42:28:39.7,40.0,30.0,,IC,5068,HII Ionized region,nebulae,Cygnus,80.0,80.0,large_dso
IC 5070,,"Pelican Nebula, Pelican nebula",20:51:00.72,+44:24:05.4,60.0,50.0,,IC,5070,HII Ionized region,nebulae,Cygnus,80.0,80.0,large_dso
IC 5146,,Cocoon Nebula,21:53:28.76,+47:16:00.9,10.0,10.0,7.2,IC,5146,Star cluster + Nebula,nebulae,Cygnus,,,small_dso
M 1,,Crab Nebula,05:34:31.97,+22:00:52.1,8.0,4.0,8.4,M,1,Supernova remnant,nebulae,Taurus,,,small_dso
M 3,,,13:42:11.23,+28:22:31.6,16.2,,6.39,M,3,Globular Cluster,clusters,Canes Venatici,,,large_dso
