Name,Type,RA,Dec,Const,MajAx,MinAx,V-Mag,M,NGC,IC,Common names,Name catalog,Name number (with zeros),Name normalized,IC name,M name,Name number,Catalog,Name_MIKE,Name (no leading zero),Name (final),NGC/ID,Type_MIKE,Common Name,Mag,RA_MIKE,Dec_MIKE,Width ('),Height ('),IC_MIKE,IC name_MIKE,NGC_MIKE,NGC name,mike,Notes
NGC5045,*Ass,13:16:47.00,-63:25:00.0,Cen,20.0,11.0,,,,,,NGC,5045,NGC 5045,,,5045,,,,,,,,,,,,,,,,,,large_dso
NGC5128,G,13:25:27.62,-43:01:08.8,Cen,25.88,19.77,7.22,,,,Centaurus A,NGC,5128,NGC 5128,,,5128,Caldwell,C 077,C 77,C 77,5128,Px,Centaurus A,7,13:25:30,-43.02,18.0,14.0,,,5128,NGC 5128,True,large_dso
NGC5139,GCl,13:26:45.89,-47:28:36.7,Cen,27.0,,5.33,,,,Omega Centauri,NGC,5139,NGC 5139,,,5139,Caldwell,C 080,C 80,C 80,5139,Gc,Omega Centauri,3.6,13:26:48,-47.48,36.0,36.0,,,5139,NGC 5139,True,large_dso
NGC5272,GCl,13:42:11.23,+28:22:31.6,CVn,16.2,,6.39,3,,,,M,5272,M 3,,,3,,,,,,,,,,,,,,,,,,large_dso
NGC5299,OCl,13:50:26.26,-59:56:51.8,Cen,4.2,,,,,,,NGC,5299,NGC 5299,,,5299,NGC,NGC 5299,NGC 5299,NGC 5299,5299,Ast,,,13:50:24,-58.07,30.0,30.0,,,5299,NGC 5299,True,large_dso
NGC5457,G,14:03:12.54,+54:20:56.2,UMa,23.99,23.07,7.9,101,,,,M,5457,M 101,,,101,Messier,M 101,M 101,M 101,5457,Sp,Pinwheel Galaxy,7.9,14:03:12,54.35,22.0,22.0,,,5457,NGC 5457,True,large_dso
NGC5460,OCl,14:07:27.81,-48:20:33.1,Cen,13.2,,5.6,,,,,NGC,5460,NGC 5460,,,5460,NGC,NGC 5460,NGC 5460,NGC 5460,5460,OC,,5,14:07:36,-47.68,25.0,25.0,,,5460,NGC 5460,True,large_dso
NGC5822,OCl,15:04:21.25,-54:23:47.1,Lup,18.0,,6.5,,,,,NGC,5822,NGC 5822,,,5822,NGC,NGC 5822,NGC 5822,NGC 5822,5822,OC,,7,15:05:12,-53.65,40.0,40.0,,,5822,NGC 5822,True,large_dso
NGC5904,GCl,15:18:33.75,+02:04:57.7,Se1,15.0,,5.95,5,,,,M,5904,M 5,,,5,,,,,,,,,,,,,,,,,,large_dso
NGC6121,GCl,16:23:35.40,-26:31:31.9,Sco,28.2,,5.4,4,,,,M,6121,M 4,,,4,Messier,M 004,M 4,M 4,6121,Gc,,5.6,16:03:36,-26.53,26.3,26.3,,,6121,NGC 6121,True,large_dso
